Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 

   	 S1	 S2
Frequency	 Real	Real
   	EU	EU

Units:
Hz	N	m/s²
2.1312500000000e+001	      0.00301771	     -0.02488521
2.1375000000000e+001	     0.002897269	      -0.0145718
2.1437500000000e+001	     0.002743739	    -0.005307917
2.1500000000000e+001	     0.002644697	     -0.01852755
2.1562500000000e+001	     0.002525978	     0.004271964
2.1625000000000e+001	     0.002307611	     0.005973188
2.1687500000000e+001	     0.002106161	    -0.004958902
2.1750000000000e+001	     0.002046124	       0.0300428
2.1812500000000e+001	     0.001788116	      0.01338612
2.1875000000000e+001	      0.00165396	       0.0131641
2.1937500000000e+001	     0.001491526	      0.04164128
2.2000000000000e+001	     0.001307485	      0.01716787
2.2062500000000e+001	     0.001056868	        0.022294
2.2125000000000e+001	     0.000924581	      0.02561472
2.2187500000000e+001	    0.0006591233	      0.04297764
2.2250000000000e+001	    0.0006076212	      0.02401302
2.2312500000000e+001	    0.0003389285	      0.03548403
2.2375000000000e+001	     0.000217099	      0.03707042
2.2437500000000e+001	   6.719376e-005	      0.03792958
2.2500000000000e+001	   -0.0002140354	      0.04223917
2.2562500000000e+001	   -0.0003493598	      0.03934265
2.2625000000000e+001	   -0.0005467148	      0.03873415
2.2687500000000e+001	    -0.000675977	      0.05342728
2.2750000000000e+001	   -0.0009446021	      0.02617346
2.2812500000000e+001	    -0.001095509	      0.06283064
2.2875000000000e+001	    -0.001287407	      0.04963675
2.2937500000000e+001	    -0.001379986	       0.0493017
2.3000000000000e+001	    -0.001595739	      0.05455877
2.3062500000000e+001	    -0.001747095	      0.06486562
2.3125000000000e+001	    -0.002002511	      0.06801213
2.3187500000000e+001	    -0.002087346	      0.06217153
2.3250000000000e+001	    -0.002206248	      0.05966377
2.3312500000000e+001	    -0.002440824	      0.03989761
2.3375000000000e+001	    -0.002639934	      0.05864364
2.3437500000000e+001	    -0.002728072	      0.04199302
2.3500000000000e+001	    -0.002797058	      0.04956798
2.3562500000000e+001	     -0.00294949	      0.05440504
2.3625000000000e+001	    -0.003108873	      0.06139313
2.3687500000000e+001	    -0.003217404	      0.05443727
2.3750000000000e+001	    -0.003419952	      0.05854276
2.3812500000000e+001	     -0.00357495	      0.05590764
2.3875000000000e+001	    -0.003744732	      0.08049661
2.3937500000000e+001	    -0.003753006	      0.05173096
2.4000000000000e+001	    -0.003798735	      0.05346011
2.4062500000000e+001	    -0.003899595	       0.0505626
2.4125000000000e+001	    -0.004071075	      0.05872631
2.4187500000000e+001	    -0.004188179	      0.05646206
2.4250000000000e+001	     -0.00425795	      0.06061211
2.4312500000000e+001	     -0.00426375	      0.07072732
2.4375000000000e+001	    -0.004407763	      0.06191215
2.4437500000000e+001	    -0.004423548	      0.07168111
2.4500000000000e+001	    -0.004425027	      0.04780862
2.4562500000000e+001	    -0.004528638	      0.05595943
2.4625000000000e+001	    -0.004560266	      0.05377814
2.4687500000000e+001	    -0.004526421	      0.03009382
2.4750000000000e+001	    -0.004594075	      0.06643164
2.4812500000000e+001	    -0.004498337	      0.02402812
2.4875000000000e+001	    -0.004673441	      0.02929819
2.4937500000000e+001	    -0.004585989	      0.05073566
2.5000000000000e+001	    -0.004600463	      0.02730622
2.5062500000000e+001	    -0.004617437	      0.03780504
2.5125000000000e+001	    -0.004555599	      0.04474482
2.5187500000000e+001	    -0.004621733	      0.03458478
2.5250000000000e+001	    -0.004541267	      0.03984448
2.5312500000000e+001	    -0.004494606	      0.03759674
2.5375000000000e+001	    -0.004437857	      0.03217434
2.5437500000000e+001	    -0.004369849	      0.03203886
2.5500000000000e+001	    -0.004375793	      0.03267425
2.5562500000000e+001	    -0.004248514	      0.02608116
2.5625000000000e+001	    -0.004237622	      0.05861233
2.5687500000000e+001	    -0.004116374	      0.06174195
2.5750000000000e+001	    -0.003976497	       0.0191073
2.5812500000000e+001	    -0.003952197	      0.05265758
2.5875000000000e+001	    -0.003839214	      0.02734294
2.5937500000000e+001	    -0.003772399	      0.02019808
2.6000000000000e+001	    -0.003621046	      0.01464977
2.6062500000000e+001	    -0.003400526	       0.0160743
2.6125000000000e+001	     -0.00335572	    0.0002664849
2.6187500000000e+001	    -0.003221139	    -0.006379746
2.6250000000000e+001	    -0.003056121	     -0.02065921
2.6312500000000e+001	    -0.002971269	     0.003160849
2.6375000000000e+001	    -0.002844086	     -0.01751444
2.6437500000000e+001	    -0.002617741	    -0.001359507
2.6500000000000e+001	    -0.002544579	     0.001834676
2.6562500000000e+001	    -0.002370404	      0.01096746
2.6625000000000e+001	    -0.002221676	     -0.03274779
2.6687500000000e+001	    -0.002040345	   -0.0003132299
2.6750000000000e+001	    -0.001856714	     -0.01685352
2.6812500000000e+001	    -0.001624703	     -0.02831101
2.6875000000000e+001	    -0.001512685	     -0.03217679
2.6937500000000e+001	    -0.001335026	     -0.02268773
2.7000000000000e+001	    -0.001131943	      -0.0280335
2.7062500000000e+001	    -0.001032625	      -0.0392132
2.7125000000000e+001	   -0.0007526423	      -0.0189838
2.7187500000000e+001	    -0.000560235	     -0.03563965
