Data written for 4 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 	 0-Z:0-Z	 	 0-Z:0-Z	 	 0-Z:0-Z	 
Channel Names	I1 : I2	 	I1 : I2	 	I1 : I2	 	I1 : I1	 
Channel Comments	 : 	 	 : 	 	 : 	 	 : 	 
Channel Labels	Impact Hammer	 	Accelerometer	 	Accelerometer	 	Accelerometer	 

   	 S1		 S2		 H1, 2		 H1, 2	
Frequency	 Mag	 Phase	Mag	 Phase	Mag	 Phase	Mag	 Phase
   	Ratio		Ratio		Ratio		Ratio	

Units:
Hz	N	 	m/s²	 	(m/s²)(N)	 	m/s² / N	 
1.0781250000000e+001	     0.002924446	       -28.11192	      0.04259304	        170.5584	        14.56448	       -161.3297	        14.56448	       -161.3297
1.0937500000000e+001	     0.003234455	       -32.53865	       0.0249734	        136.3976	        7.721054	        168.9362	        7.721054	        168.9362
1.1093750000000e+001	     0.003095305	       -39.24042	      0.05312365	        139.0423	        17.16265	        178.2827	        17.16265	        178.2827
1.1250000000000e+001	     0.003130892	       -43.76016	      0.03611484	        158.7744	          11.535	       -157.4654	          11.535	       -157.4654
1.1406250000000e+001	     0.003243827	       -50.78137	      0.04036016	         139.215	        12.44214	       -170.0036	        12.44214	       -170.0036
1.1562500000000e+001	     0.003047271	       -58.35235	      0.03585713	          123.84	        11.76696	       -177.8077	        11.76696	       -177.8077
1.1718750000000e+001	     0.003072259	       -57.88617	      0.03245649	        122.0115	        10.56437	        179.8977	        10.56437	        179.8977
1.1875000000000e+001	     0.003258498	       -65.89474	      0.03417347	        87.33782	        10.48749	        153.2326	        10.48749	        153.2326
1.2031250000000e+001	     0.003256483	       -73.32066	      0.02320994	        115.4416	        7.127304	       -171.2378	        7.127304	       -171.2378
1.2187500000000e+001	     0.003195858	       -78.13425	       0.0322178	         116.417	        10.08111	       -165.4488	        10.08111	       -165.4488
1.2343750000000e+001	     0.003032659	        -81.9488	      0.03012702	        114.2333	        9.934196	       -163.8179	        9.934196	       -163.8179
1.2500000000000e+001	     0.003267095	       -86.90897	      0.03334979	        79.70196	        10.20778	        166.6109	        10.20778	        166.6109
1.2656250000000e+001	     0.003217072	        -92.7591	      0.02392592	        121.5808	        7.437173	       -145.6601	        7.437173	       -145.6601
1.2812500000000e+001	      0.00315804	       -98.61441	      0.04370012	        72.01142	        13.83774	        170.6258	        13.83774	        170.6258
1.2968750000000e+001	     0.003228212	        -102.571	      0.02672597	        34.51604	        8.278876	         137.087	        8.278876	         137.087
1.3125000000000e+001	     0.003126458	       -110.2139	       0.0257091	        40.20683	        8.223074	        150.4207	        8.223074	        150.4207
1.3281250000000e+001	     0.003116292	       -115.6277	      0.02365936	        43.55984	        7.592152	        159.1875	        7.592152	        159.1875
1.3437500000000e+001	     0.003002748	       -120.0595	      0.02602249	        41.28579	        8.666225	        161.3453	        8.666225	        161.3453
1.3593750000000e+001	     0.003036889	       -122.1018	      0.01970946	        64.23707	        6.490019	       -173.6611	        6.490019	       -173.6611
1.3750000000000e+001	     0.003127248	       -129.0484	      0.02780131	        61.70248	        8.890025	       -169.2491	        8.890025	       -169.2491
1.3906250000000e+001	     0.003135348	        -134.169	       0.0464797	         31.9439	        14.82442	        166.1129	        14.82442	        166.1129
1.4062500000000e+001	     0.003064574	       -141.7311	      0.01497709	        18.99837	        4.887167	        160.7295	        4.887167	        160.7295
1.4218750000000e+001	     0.003108905	       -145.6639	       0.0420105	        4.859977	        13.51296	        150.5238	        13.51296	        150.5238
1.4375000000000e+001	     0.003014661	       -152.0176	      0.02790514	        4.852455	        9.256477	        156.8701	        9.256477	        156.8701
1.4531250000000e+001	     0.003067731	       -156.9026	      0.03036167	       -24.90215	        9.897109	        132.0004	        9.897109	        132.0004
1.4687500000000e+001	      0.00294097	          -162.8	      0.03048973	          -4.515	        10.36723	         158.285	        10.36723	         158.285
1.4843750000000e+001	     0.002980734	       -167.0304	      0.02652689	       -51.12086	        8.899449	        115.9096	        8.899449	        115.9096
1.5000000000000e+001	     0.002980411	       -174.4799	      0.03039303	       -33.04828	         10.1976	        141.4316	         10.1976	        141.4316
1.5156250000000e+001	     0.002938313	        179.8492	      0.01705637	       -10.41763	        5.804818	        169.7332	        5.804818	        169.7332
1.5312500000000e+001	     0.002960617	         173.243	      0.02542976	       0.8785034	        8.589345	       -172.3645	        8.589345	       -172.3645
1.5468750000000e+001	     0.002839183	        169.4929	      0.03724891	       -31.99867	        13.11959	        158.5084	        13.11959	        158.5084
1.5625000000000e+001	      0.00301869	        161.8071	      0.03843337	       -30.86514	         12.7318	        167.3277	         12.7318	        167.3277
1.5781250000000e+001	      0.00290019	        156.2305	      0.03005962	       -43.61573	        10.36471	        160.1538	        10.36471	        160.1538
1.5937500000000e+001	      0.00284324	        150.9591	      0.02510437	       -45.27187	        8.829494	         163.769	        8.829494	         163.769
1.6093750000000e+001	     0.002811749	        146.3362	      0.04720447	        -42.8916	        16.78829	        170.7722	        16.78829	        170.7722
1.6250000000000e+001	     0.002877687	        138.6907	      0.02447332	       -74.88725	        8.504508	        146.4221	        8.504508	        146.4221
1.6406250000000e+001	     0.002859063	        132.4776	      0.03395565	       -79.34226	         11.8765	        148.1801	         11.8765	        148.1801
1.6562500000000e+001	     0.002746677	        126.7971	      0.03068342	       -68.49413	        11.17111	        164.7088	        11.17111	        164.7088
1.6718750000000e+001	     0.002788108	        121.4892	      0.03083851	       -89.12434	        11.06073	        149.3864	        11.06073	        149.3864
1.6875000000000e+001	     0.002811529	        114.6954	      0.03590343	       -97.18636	        12.77007	        148.1182	        12.77007	        148.1182
1.7031250000000e+001	     0.002767535	         109.177	      0.02806049	       -107.8446	        10.13917	        142.9784	        10.13917	        142.9784
1.7187500000000e+001	     0.002823183	        103.6751	      0.04111519	       -113.3622	        14.56341	        142.9627	        14.56341	        142.9627
1.7343750000000e+001	     0.002806427	        97.71625	      0.03632611	       -116.5731	         12.9439	        145.7107	         12.9439	        145.7107
1.7500000000000e+001	     0.002802851	        91.21203	      0.02094669	        -132.933	        7.473352	        135.8549	        7.473352	        135.8549
1.7656250000000e+001	     0.002745627	        86.14268	      0.03483257	       -116.6563	        12.68656	         157.201	        12.68656	         157.201
1.7812500000000e+001	     0.002820181	        79.82068	      0.03317983	       -123.5355	        11.76514	        156.6438	        11.76514	        156.6438
1.7968750000000e+001	      0.00288351	        73.65813	      0.02192028	       -129.8748	        7.601945	        156.4671	        7.601945	        156.4671
1.8125000000000e+001	     0.002871078	        66.52831	      0.02739703	          -158.4	        9.542419	        135.0717	        9.542419	        135.0717
1.8281250000000e+001	     0.002756491	        60.64029	       0.0261011	       -158.0681	        9.468958	        141.2916	        9.468958	        141.2916
1.8437500000000e+001	     0.002880971	        56.43472	      0.03226069	        -143.336	        11.19785	        160.2293	        11.19785	        160.2293
1.8593750000000e+001	     0.002879646	        49.78214	      0.02448968	       -140.1037	        8.504407	        170.1142	        8.504407	        170.1142
1.8750000000000e+001	     0.002875719	         44.3555	      0.03408456	       -163.6313	        11.85254	        152.0132	        11.85254	        152.0132
1.8906250000000e+001	     0.002921754	        38.86689	       0.0297779	       -153.4269	        10.19179	        167.7062	        10.19179	        167.7062
1.9062500000000e+001	     0.002978653	        31.43688	      0.03757749	       -166.1573	         12.6156	        162.4058	         12.6156	        162.4058
1.9218750000000e+001	     0.002979587	        26.11254	      0.03288018	       -163.6054	        11.03515	         170.282	        11.03515	         170.282
1.9375000000000e+001	     0.002922675	        20.38993	      0.02465725	       -175.9723	        8.436533	        163.6378	        8.436533	        163.6378
1.9531250000000e+001	     0.002930508	        16.24309	      0.04071375	       -169.0483	        13.89307	        174.7086	        13.89307	        174.7086
1.9687500000000e+001	     0.003051103	        9.846839	      0.03302278	        162.3747	        10.82323	        152.5279	        10.82323	        152.5279
1.9843750000000e+001	     0.003066334	        2.286577	      0.03795146	         157.534	        12.37682	        155.2474	        12.37682	        155.2474
2.0000000000000e+001	     0.002991347	       -2.914696	      0.02549863	        144.0929	        8.524131	        147.0076	        8.524131	        147.0076
2.0156250000000e+001	     0.003015976	       -8.226878	      0.02364833	       -175.7889	        7.841019	        -167.562	        7.841019	        -167.562
2.0312500000000e+001	     0.003058603	       -15.01614	      0.03400355	        156.3857	        11.11734	        171.4018	        11.11734	        171.4018
2.0468750000000e+001	     0.003046734	       -20.59141	      0.02124543	        138.5803	         6.97318	        159.1717	         6.97318	        159.1717
2.0625000000000e+001	     0.002974586	       -24.72871	      0.02797612	        146.6316	        9.405046	        171.3603	        9.405046	        171.3603
2.0781250000000e+001	      0.00306975	       -29.38675	      0.03944703	        141.7698	        12.85024	        171.1566	        12.85024	        171.1566
2.0937500000000e+001	     0.003079756	       -37.00517	      0.03548284	        100.8546	        11.52131	        137.8597	        11.52131	        137.8597
2.1093750000000e+001	      0.00307048	       -41.95126	      0.01531578	         86.5516	        4.988073	        128.5029	        4.988073	        128.5029
2.1250000000000e+001	     0.003108353	       -46.03638	      0.02164643	        125.6968	        6.963956	        171.7332	        6.963956	        171.7332
2.1406250000000e+001	     0.003121454	       -53.07634	      0.02254556	        115.1085	        7.222774	        168.1849	        7.222774	        168.1849
